id,kode_pohon,nama_latin,nama_lokal,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
40,MD0032,Palaquium spp.,Balam Merah,Pohon Muda,icon/young_tree.svg,-,32,35,Hutan Desa Muara Dua,gambut,-,1.040301,101.9890362,15.38117079,0.05,-,-,-,Margono,2021-09-20 13:58:00.000+07:00," Rp50,000 ",2614.04,-,Chave (2005),media/MD40.jpg,media/1632119392989.jpg,media/1632119424705.jpg,media/1632119445004.jpg,adopsipohonriau/40
41,MD0052,-,Tempurung,Pohon Muda,icon/young_tree.svg,-,28,21,Hutan Desa Muara Dua,gambut,-,1.0404081,101.9889915,-22.89380837,0.05,-,-,-,Margono,2021-09-21 13:38:00.000+07:00," Rp50,000 ",1184.04,-,Brown (1997),media/MD41.jpg,media/1632120587013.jpg,media/1632120609696.jpg,media/1632120699009.jpg,adopsipohonriau/41
42,MD0053,Tetrameristra glabra ,Punak,Pohon Muda,icon/young_tree.svg,-,26,20,Hutan Desa Muara Dua,gambut,-,1.0404528,101.9892475,8.116775479,0.05,-,-,-,Margono,2021-09-21 13:43:00.000+07:00," Rp50,000 ",1044.1,-,Chave (2005),media/MD42.jpg,media/1632121028500.jpg,media/1632121051940.jpg,media/1632121087138.jpg,adopsipohonriau/42
43,MD0055,Eugenia sp.,Jambu Jambu,Pohon Muda,icon/young_tree.svg,-,20,20,Hutan Desa Muara Dua,gambut,-,1.0404805,101.989279,7.017060297,0.05,-,-,-,Margono,2021-09-21 13:47:00.000+07:00," Rp50,000 ",722.57,-,Chave (2005),media/MD43.jpg,media/1632206235592.jpg,media/1632206264472.jpg,media/1632206287132.jpg,adopsipohonriau/43
44,MD0054,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,36,25,Hutan Desa Muara Dua,gambut,-,1.0404002,101.9891212,8.663254704,0.05,-,-,-,Margono,2021-09-21 13:53:00.000+07:00," Rp50,000 ",2368.87,-,Chave (2005),media/MD44.jpg,media/1632206515076.jpg,media/1632206558791.jpg,media/1632206608177.jpg,adopsipohonriau/44
45,MD0061,Eugenia sp.,Jambu Jambu,Pohon Muda,icon/young_tree.svg,-,23,23,Hutan Desa Muara Dua,gambut,-,1.0404755,101.9891388,21.1799614,0.05,-,-,-,Margono,2021-09-21 14:00:00.000+07:00," Rp50,000 ",1087.93,-,Chave (2005),media/MD45.jpg,media/1632206791063.jpg,media/1632206818115.jpg,media/1632206864440.jpg,adopsipohonriau/45
46,MD0062,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,22,17,Hutan Desa Muara Dua,gambut,-,1.040611,101.9889346,-18.63319424,0.05,-,-,-,Margono,2021-09-21 14:05:00.000+07:00," Rp50,000 ",621.69,-,Chave (2005),media/MD46.jpg,media/1632119229393.jpg,media/1632119270823.jpg,media/1632119296567.jpg,adopsipohonriau/46
48,MD0047,-,Tempurung,Pohon Muda,icon/young_tree.svg,-,10,10,Hutan Desa Muara Dua,gambut,-,1.040445,101.9889885,8.667797574,0.05,-,-,-,Margono,2021-09-21 12:09:00.000+07:00," Rp50,000 ",87.51,-,Brown (1997),media/MD48.jpg,media/1632207106794.jpg,media/1632207140271.jpg,media/1632207194202.jpg,adopsipohonriau/48
49,MD0057,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,21,30,Hutan Desa Muara Dua,gambut,-,1.040452,101.9891606,9.244287119,0.05,-,-,-,Margono,2021-09-21 12:18:00.000+07:00," Rp50,000 ",988.31,-,Chave (2005),media/MD49.jpg,media/1632207485584.jpg,media/1632207512324.jpg,media/1632207588617.jpg,adopsipohonriau/49
50,MD0070,Eugenia sp.,Jambu Jambu,Pohon Muda,icon/young_tree.svg,-,18,17,Hutan Desa Muara Dua,gambut,-,1.0408356,101.9889878,-19.54768023,0.04,-,-,-,Margono,2021-09-21 14:13:00.000+07:00," Rp50,000 ",501.96,-,Chave (2005),media/MD50.jpg,media/1632207796706.jpg,media/1632207817610.jpg,media/1632207893530.jpg,adopsipohonriau/50
